Geography,Gender,HasCrCard,IsActiveMember,EstimatedSalary,Exited
France,Female,YES,NO,93251.42,YES
Germany,Female,YES,YES,156791.36,NO
Spain,Female,YES,YES,174205.22,YES
France,Male,YES,NO,147132.46,NO
France,Female,YES,NO,109614.57,NO
France,Male,YES,YES,172290.61,NO
Spain,Male,NO,YES,85982.47,NO
Spain,Male,NO,YES,121277.78,NO
Spain,Male,NO,YES,64595.25,NO
Germany,Male,YES,YES,197276.13,NO
Spain,Male,NO,NO,99645.04,NO
France,Male,NO,NO,6534.18,NO
France,Female,YES,YES,161848.03,NO
France,Female,NO,NO,167162.43,NO
France,Male,YES,NO,41970.72,NO
Spain,Male,YES,NO,60536.56,NO
Spain,Female,YES,YES,177655.68,YES
Spain,Female,YES,YES,30984.59,YES
Germany,Male,YES,YES,10054.53,NO
Germany,Female,NO,YES,36976.52,NO
Spain,Male,NO,NO,71862.79,NO
Germany,Male,YES,NO,99449.86,YES
Germany,Male,NO,YES,63082.88,NO
Germany,Male,YES,NO,27231.26,NO
France,Male,NO,NO,86797.41,NO
Spain,Male,NO,YES,22994.32,NO
Germany,Male,NO,YES,101300.94,YES
Germany,Female,YES,YES,74169.13,NO
Germany,Female,YES,NO,115638.29,NO
France,Female,YES,NO,31766.3,NO
Germany,Female,YES,NO,199725.39,YES
Germany,Male,YES,NO,120834.48,NO
France,Male,NO,NO,38131.77,NO
Spain,Male,NO,NO,100130.95,NO
France,Female,YES,NO,141069.88,NO
Germany,Female,YES,YES,198129.36,NO
France,Female,NO,NO,183646.41,NO
France,Male,YES,NO,110265.24,YES
France,Female,NO,YES,8636.05,YES
Germany,Male,YES,NO,46824.08,YES
France,Female,YES,NO,171378.77,NO
France,Male,YES,NO,167256.35,NO
France,Female,YES,YES,124226.16,NO
Germany,Female,YES,YES,114935.21,NO
France,Male,YES,YES,35608.88,NO
France,Male,NO,YES,16459.37,NO
Germany,Male,YES,YES,124411.08,NO
Germany,Female,YES,YES,34941.23,NO
Germany,Female,NO,YES,167784.28,NO
France,Male,NO,YES,93165.34,NO
Spain,Female,YES,NO,75161.25,YES
Spain,Female,NO,YES,8590.83,YES
Germany,Male,YES,NO,189543.9,NO
France,Male,YES,YES,180427.24,NO
France,Female,YES,YES,193318.33,NO
Spain,Male,YES,NO,159123.82,YES
France,Female,YES,NO,126213.84,YES
Spain,Female,YES,YES,54141.5,NO
Spain,Female,YES,NO,141075.51,NO
France,Male,NO,NO,24495.03,NO
France,Male,YES,NO,74836.34,NO
France,Male,NO,YES,878.87,NO
Spain,Female,YES,NO,89520.75,NO
France,Female,YES,NO,149892.79,YES
Spain,Male,YES,NO,180800.42,NO
France,Male,YES,NO,98646.22,NO
France,Female,YES,YES,109041.53,NO
Spain,Male,YES,NO,17941.16,YES
France,Female,NO,NO,82996.47,NO
Spain,Female,YES,YES,92067.35,NO
France,Female,NO,YES,104719.66,NO
Germany,Female,NO,NO,112687.57,NO
Spain,Female,NO,YES,84699.56,NO
France,Male,YES,NO,83473.82,NO
France,Female,NO,NO,47125.11,NO
Spain,Female,YES,YES,106977.8,NO
Spain,Male,YES,NO,55582.54,YES
Germany,Male,YES,YES,139874.43,NO
Germany,Female,YES,NO,162503.48,YES
Spain,Female,YES,NO,196499.96,NO
Spain,Female,YES,NO,40721.24,YES
Germany,Male,NO,NO,53134.3,NO
France,Female,YES,NO,164017.89,NO
Germany,Male,YES,NO,155996.96,NO
Germany,Male,YES,NO,5472.7,YES
France,Male,YES,NO,112187.11,NO
France,Male,YES,YES,146457.83,NO
Spain,Female,YES,YES,27286.1,NO
France,Female,YES,YES,130553.47,NO
Germany,Male,NO,NO,179351.89,NO
Spain,Female,NO,YES,94774.12,NO
Germany,Female,YES,NO,8080.85,YES
Spain,Female,YES,YES,19482.5,NO
France,Male,YES,YES,48071.61,NO
Germany,Female,YES,NO,174531.27,NO
France,Male,YES,YES,55470.78,NO
France,Female,YES,YES,8546.87,YES
France,Male,YES,NO,95857.18,NO
France,Female,YES,NO,194945.8,NO
Spain,Female,NO,YES,131521.72,NO
Spain,Male,NO,YES,196108.51,NO
Germany,Female,YES,NO,148564.76,NO
France,Female,NO,NO,92982.61,YES
France,Female,YES,NO,17675.36,NO
France,Male,NO,NO,114996.43,NO
France,Male,YES,NO,86957.42,NO
Spain,Male,YES,NO,128077.8,NO
France,Male,YES,YES,600.36,NO
Spain,Female,YES,YES,43001.46,NO
Germany,Male,YES,YES,158591.12,NO
France,Male,YES,YES,47847.19,NO
France,Male,YES,NO,10488.44,NO
Spain,Male,YES,YES,5978.2,NO
France,Male,NO,YES,121409.06,NO
Spain,Male,NO,YES,146145.93,YES
France,Female,YES,YES,14374.86,YES
Spain,Male,YES,NO,94670.77,NO
France,Male,YES,YES,179670.31,NO
Spain,Female,NO,NO,199304.74,YES
France,Male,YES,YES,151954.39,NO
France,Male,YES,NO,142513.5,YES
France,Male,NO,YES,158264.62,NO
Germany,Male,YES,NO,169381.9,NO
France,Male,YES,YES,169915.02,NO
France,Female,NO,NO,88852.47,NO
France,Female,YES,YES,40645.81,NO
Germany,Male,NO,NO,60427.3,NO
Germany,Male,NO,YES,157959.02,YES
France,Male,YES,NO,133007.34,NO
Spain,Female,NO,NO,176576.62,NO
France,Male,YES,NO,34888.04,YES
France,Male,YES,YES,28737.71,YES
France,Female,YES,YES,98178.57,NO
Spain,Male,NO,YES,125010.24,NO
France,Male,YES,YES,167984.61,NO
France,Male,YES,NO,4861.72,YES
Germany,Male,YES,YES,108872.45,YES
France,Male,YES,NO,198252.88,NO
France,Female,YES,YES,26960.31,NO
Germany,Female,YES,YES,85746.52,YES
Germany,Male,YES,NO,77206.25,YES
Germany,Female,YES,NO,61048.53,NO
France,Male,NO,YES,111981.19,NO
France,Male,YES,NO,62232.6,NO
France,Female,NO,YES,156105.03,NO
Germany,Male,NO,YES,150135.38,NO
France,Female,NO,YES,93146.11,NO
Germany,Male,YES,NO,33462.94,YES
France,Female,YES,YES,144375.0,NO
Germany,Female,YES,NO,55803.96,YES
France,Female,YES,NO,89048.46,YES
France,Male,NO,YES,162812.16,NO
Spain,Male,YES,NO,136259.65,NO
Germany,Female,YES,NO,124052.97,NO
France,Male,NO,YES,74158.8,NO
Germany,Male,YES,YES,45071.09,YES
Spain,Male,YES,NO,62030.06,NO
France,Female,YES,NO,131953.23,YES
Germany,Male,YES,NO,79414.0,NO
France,Female,YES,YES,199638.56,NO
Germany,Male,YES,YES,157577.29,NO
Germany,Male,YES,NO,134420.75,YES
Germany,Female,NO,NO,99805.99,NO
Spain,Female,YES,YES,97932.68,NO
France,Female,NO,YES,170968.99,NO
Germany,Male,YES,YES,57558.95,NO
Spain,Male,NO,NO,176713.47,NO
Spain,Male,NO,YES,34283.23,NO
France,Male,YES,YES,198637.34,NO
Germany,Female,NO,NO,156917.12,NO
France,Female,YES,YES,50457.2,NO
Germany,Male,YES,YES,140075.55,NO
Germany,Male,YES,YES,65323.11,NO
Spain,Female,YES,NO,64323.24,NO
France,Female,YES,NO,14956.44,NO
France,Female,NO,YES,111879.21,NO
Spain,Male,YES,YES,18606.23,NO
Spain,Female,YES,NO,123137.01,NO
France,Male,YES,YES,148528.24,NO
France,Male,YES,NO,13898.31,NO
Spain,Female,NO,NO,81259.25,YES
Germany,Female,YES,NO,161051.75,NO
Spain,Male,NO,YES,191599.67,NO
Germany,Male,YES,NO,48559.19,YES
Germany,Female,YES,YES,186339.74,NO
France,Male,YES,NO,33159.37,NO
Germany,Male,NO,YES,93883.53,NO
Spain,Female,YES,YES,110899.3,NO
France,Male,YES,YES,11199.04,YES
France,Female,YES,NO,189992.97,NO
France,Male,NO,YES,164255.69,NO
France,Male,YES,NO,152167.79,YES
France,Male,YES,YES,33949.67,NO
Spain,Male,YES,YES,68143.93,NO
Germany,Male,YES,YES,47251.79,YES
France,Male,YES,YES,25885.72,NO
France,Female,NO,YES,192633.85,NO
France,Male,YES,NO,34577.36,NO
Spain,Male,YES,NO,161229.84,NO
France,Female,YES,NO,100816.29,NO
Spain,Female,YES,YES,181694.44,NO
Spain,Male,YES,NO,79078.91,NO
Germany,Male,NO,YES,137316.32,NO
Spain,Female,YES,NO,194926.86,NO
France,Male,YES,NO,51285.49,NO
Spain,Female,NO,NO,150401.53,YES
France,Male,YES,YES,112491.96,NO
France,Male,YES,NO,73656.38,NO
France,Female,YES,YES,106636.89,NO
Spain,Female,YES,NO,155853.52,YES
France,Male,YES,YES,162599.51,NO
France,Male,YES,YES,103737.82,NO
France,Female,YES,NO,160990.27,NO
Spain,Female,NO,NO,15462.84,NO
France,Male,YES,NO,10334.05,NO
France,Female,YES,YES,190686.16,NO
France,Male,NO,NO,94440.45,NO
France,Male,YES,YES,28257.63,NO
France,Male,YES,YES,170034.95,YES
Germany,Male,YES,NO,31824.29,NO
France,Male,YES,NO,127166.49,YES
Germany,Male,YES,NO,44937.01,NO
France,Female,YES,YES,188603.07,NO
Germany,Male,YES,NO,145111.37,NO
France,Male,NO,NO,171463.83,NO
Germany,Female,YES,NO,182822.5,NO
Spain,Male,YES,YES,87213.33,NO
Spain,Male,NO,NO,57175.32,NO
France,Male,YES,NO,120540.83,YES
Spain,Male,YES,YES,28714.34,NO
Spain,Female,YES,NO,85426.28,NO
France,Male,YES,NO,46170.75,NO
Spain,Female,YES,YES,64448.36,NO
France,Female,YES,YES,16278.97,NO
France,Male,YES,NO,182855.42,YES
France,Female,NO,NO,50404.72,NO
France,Male,YES,NO,107640.25,NO
France,Male,YES,NO,134132.65,NO
France,Male,YES,NO,103480.69,NO
France,Female,YES,NO,108761.05,YES
Germany,Male,YES,YES,179012.3,NO
Germany,Male,YES,YES,95145.14,NO
France,Male,NO,YES,72143.44,NO
Spain,Female,YES,NO,19162.89,NO
Germany,Male,NO,YES,144680.18,NO
Germany,Female,YES,NO,177772.03,YES
Spain,Female,YES,NO,5597.94,NO
France,Male,YES,NO,116828.51,YES
Germany,Female,NO,YES,174652.51,NO
France,Male,YES,NO,2010.98,NO
Spain,Female,YES,NO,14109.85,YES
Germany,Female,YES,NO,43527.4,YES
Germany,Female,NO,YES,86099.23,YES
France,Male,NO,NO,161574.19,NO
Spain,Female,YES,YES,38970.14,NO
France,Male,NO,NO,127587.22,NO
France,Female,YES,NO,30380.12,NO
France,Female,YES,NO,90908.95,NO
Germany,Female,YES,NO,138275.01,NO
Germany,Male,YES,YES,32171.79,NO
Germany,Female,YES,YES,126143.23,NO
France,Male,YES,YES,129892.93,NO
Spain,Male,YES,YES,102416.84,NO
Spain,Male,YES,YES,18719.67,NO
Spain,Female,YES,NO,61936.22,NO
Spain,Male,YES,YES,78358.94,NO
France,Female,YES,YES,147224.27,NO
France,Male,YES,NO,160979.66,NO
Spain,Female,YES,YES,132298.49,NO
Spain,Male,YES,NO,174248.52,YES
France,Male,YES,YES,123547.28,NO
France,Male,NO,YES,32790.02,NO
Spain,Male,NO,YES,181543.67,NO
Germany,Female,NO,YES,2319.96,YES
France,Female,YES,YES,189543.19,NO
Germany,Female,YES,NO,10940.4,NO
France,Male,YES,YES,199493.38,NO
Spain,Female,YES,YES,188193.25,NO
Germany,Female,YES,NO,172572.64,NO
Germany,Female,YES,YES,189339.6,NO
Germany,Male,NO,YES,53512.16,NO
France,Female,YES,NO,34004.44,NO
Spain,Male,YES,YES,10598.29,NO
Germany,Female,NO,YES,113428.77,NO
Germany,Male,YES,YES,183487.98,NO
Germany,Male,YES,YES,187658.09,NO
Germany,Male,YES,YES,172459.39,NO
France,Female,NO,YES,21016.0,NO
Germany,Male,YES,YES,122381.02,YES
Spain,Male,YES,NO,128123.66,NO
Spain,Female,YES,NO,19570.63,NO
Spain,Female,NO,NO,188150.6,YES
France,Female,YES,YES,111020.24,NO
France,Male,YES,NO,123775.15,NO
Germany,Female,NO,YES,146700.22,NO
Germany,Male,YES,NO,145251.35,NO
Germany,Male,YES,NO,82463.69,NO
France,Female,YES,YES,15928.49,NO
Spain,Male,YES,NO,45886.33,NO
Spain,Male,YES,YES,186489.95,NO
Spain,Female,NO,YES,162922.65,NO
France,Female,YES,NO,9262.77,NO
Germany,Female,YES,YES,84932.4,NO
Germany,Male,YES,YES,71557.12,NO
Spain,Male,YES,NO,77405.95,YES
Spain,Male,NO,NO,417.41,YES
Spain,Female,YES,YES,71405.17,NO
Germany,Female,NO,YES,153400.24,NO
France,Male,YES,YES,371.05,NO
Germany,Male,YES,NO,67789.99,NO
France,Female,NO,YES,145894.9,NO
France,Female,YES,NO,183840.51,YES
France,Male,YES,NO,108887.44,NO
Germany,Female,YES,YES,154071.27,NO
Spain,Male,NO,YES,179291.85,NO
Spain,Male,NO,YES,56937.43,NO
France,Male,YES,YES,112239.03,NO
France,Male,YES,NO,45909.87,NO
Spain,Female,NO,NO,173779.25,YES
Spain,Female,YES,NO,125696.26,NO
Germany,Male,YES,YES,159585.61,NO
Germany,Female,YES,NO,106761.47,NO
Spain,Male,NO,NO,129590.18,NO
France,Male,YES,YES,80006.65,NO
Spain,Female,YES,YES,140451.52,NO
Germany,Female,YES,YES,187929.43,YES
Spain,Male,YES,NO,167155.36,NO
Spain,Male,NO,NO,191420.71,NO
Germany,Female,NO,NO,11384.45,YES
France,Female,YES,YES,94898.1,NO
France,Female,NO,NO,106781.59,NO
France,Female,NO,NO,159508.52,NO
Germany,Female,YES,NO,93524.19,YES
France,Female,YES,NO,87168.46,NO
Germany,Male,YES,NO,8128.32,YES
France,Female,YES,NO,125518.32,NO
France,Male,YES,NO,48963.59,NO
France,Male,YES,NO,98368.24,NO
Germany,Male,YES,NO,148584.61,NO
France,Male,YES,YES,27474.81,NO
Germany,Female,YES,NO,76192.21,NO
Germany,Male,NO,NO,134600.94,YES
Germany,Male,YES,YES,72467.99,YES
Germany,Male,NO,YES,199645.45,NO
Germany,Female,YES,NO,42749.85,NO
Germany,Female,YES,NO,136050.44,YES
France,Male,NO,NO,73564.44,NO
France,Female,NO,YES,85578.63,NO
Germany,Female,YES,NO,129826.89,NO
France,Male,NO,NO,119666.0,NO
France,Female,YES,NO,68052.08,NO
Germany,Female,YES,YES,164104.74,NO
France,Female,NO,NO,80190.36,NO
France,Female,YES,NO,84126.75,NO
France,Female,YES,YES,70179.0,NO
France,Male,YES,YES,118024.1,NO
Spain,Male,NO,NO,145704.19,YES
France,Female,NO,YES,183049.41,NO
France,Male,NO,NO,120906.83,NO
France,Male,YES,YES,100433.83,NO
France,Female,NO,NO,138777.0,YES
Spain,Female,YES,NO,124694.99,NO
Germany,Female,YES,NO,40084.32,NO
France,Male,NO,YES,119232.33,NO
Spain,Male,NO,NO,43921.36,NO
Spain,Female,YES,NO,62222.81,NO
France,Female,NO,YES,56577.0,NO
France,Male,YES,NO,164253.35,NO
France,Male,YES,YES,7666.73,NO
France,Male,YES,NO,68487.51,NO
Germany,Male,NO,YES,199273.98,YES
Spain,Male,YES,YES,186062.36,NO
Germany,Male,YES,YES,195711.16,NO
France,Male,YES,NO,36692.17,NO
Spain,Female,YES,NO,106920.57,NO
France,Female,YES,YES,48725.68,YES
Spain,Male,YES,YES,167036.94,NO
France,Male,YES,NO,68777.26,NO
Spain,Female,YES,YES,18924.92,NO
Germany,Female,YES,NO,71905.77,YES
France,Male,YES,NO,64833.28,NO
France,Male,YES,YES,184843.77,NO
Spain,Male,YES,YES,176730.02,NO
France,Male,YES,NO,20629.4,YES
France,Male,YES,NO,28415.36,NO
France,Male,YES,NO,77231.27,NO
France,Female,YES,NO,102750.7,NO
Germany,Male,NO,NO,34580.8,YES
Germany,Female,YES,YES,183598.77,NO
France,Female,YES,NO,147358.27,NO
France,Male,YES,YES,108469.2,NO
France,Male,YES,YES,20612.82,NO
Spain,Male,NO,YES,181196.76,NO
France,Female,YES,NO,160249.1,NO
France,Male,NO,NO,110783.28,NO
Germany,Male,YES,NO,144995.33,NO
Spain,Male,YES,NO,150227.85,YES
France,Female,YES,YES,53718.28,NO
France,Male,YES,NO,75248.3,NO
France,Male,YES,YES,14353.43,YES
France,Male,NO,YES,130486.57,NO
Germany,Female,YES,YES,100127.71,NO
Spain,Male,YES,YES,196356.17,NO
France,Female,YES,YES,9983.88,NO
France,Female,NO,YES,118974.77,NO
France,Female,NO,NO,194998.34,YES
France,Female,NO,NO,134901.34,YES
Germany,Male,YES,YES,72924.56,NO
France,Female,YES,NO,101057.95,NO
France,Male,YES,YES,142838.64,NO
Germany,Male,YES,YES,127059.04,NO
France,Female,NO,YES,116503.92,YES
Spain,Male,YES,YES,54405.79,NO
France,Male,YES,YES,88721.84,NO
France,Male,YES,NO,74135.48,YES
Spain,Male,YES,YES,111346.22,NO
Spain,Female,NO,NO,194902.16,NO
France,Male,YES,NO,31474.27,NO
Germany,Male,YES,NO,21198.39,NO
Germany,Female,YES,NO,186976.6,NO
France,Male,YES,YES,117202.19,NO
Spain,Female,YES,YES,143739.29,NO
Germany,Female,YES,YES,161811.23,NO
Germany,Female,YES,NO,98090.91,NO
Spain,Male,NO,NO,71095.41,NO
France,Male,YES,YES,13107.24,NO
France,Female,YES,YES,67110.59,YES
Spain,Male,YES,NO,88225.02,NO
France,Female,NO,YES,62256.87,YES
Germany,Male,YES,NO,135925.72,NO
France,Male,NO,YES,177815.87,YES
France,Male,NO,YES,126471.13,NO
France,Female,YES,NO,188574.12,YES
France,Male,YES,YES,119175.45,NO
Spain,Male,YES,YES,139093.73,NO
Germany,Male,YES,YES,115916.55,NO
France,Male,NO,NO,96463.25,NO
France,Female,YES,YES,112349.51,NO
France,Male,YES,YES,165303.79,NO
France,Male,YES,NO,166031.08,NO
Germany,Female,YES,NO,38411.79,YES
France,Male,YES,YES,77783.35,NO
Spain,Female,YES,YES,29871.79,NO
Spain,Female,NO,YES,59747.63,NO
France,Male,YES,YES,79919.13,NO
Spain,Male,YES,NO,76773.53,NO
France,Female,YES,NO,54018.93,NO
France,Male,YES,NO,70649.64,YES
Germany,Male,YES,NO,59093.39,NO
Spain,Male,YES,NO,127569.8,NO
Germany,Female,NO,YES,18260.98,YES
Germany,Female,YES,NO,73275.96,YES
France,Male,YES,YES,136129.49,NO
France,Male,YES,YES,153237.59,NO
France,Female,YES,YES,106841.12,NO
Spain,Male,YES,NO,109078.35,YES
France,Female,NO,YES,87822.14,YES
Spain,Female,YES,NO,126644.98,NO
France,Male,YES,NO,47414.15,NO
Germany,Female,YES,NO,41879.99,NO
France,Male,YES,YES,75808.1,NO
France,Male,YES,YES,47911.03,NO
Germany,Female,YES,NO,28737.78,NO
Germany,Male,YES,YES,2079.2,YES
Spain,Female,YES,NO,121562.33,NO
France,Male,YES,NO,55003.79,NO
Germany,Male,YES,NO,193131.42,NO
Spain,Female,NO,YES,191932.27,YES
Germany,Male,YES,NO,159418.1,NO
Germany,Male,YES,NO,191468.78,YES
Spain,Male,YES,YES,38913.68,NO
Spain,Female,YES,YES,705.18,NO
Germany,Female,NO,YES,138490.03,NO
Spain,Male,NO,YES,82970.69,NO
Spain,Male,YES,YES,76744.72,NO
France,Female,YES,NO,71244.59,YES
Spain,Female,YES,YES,12182.15,NO
France,Male,YES,YES,141210.5,NO
Spain,Female,NO,NO,191763.07,YES
Spain,Female,YES,YES,37938.74,NO
Germany,Male,YES,YES,74890.58,NO
France,Male,YES,YES,166698.18,NO
France,Male,YES,YES,62678.53,NO
France,Male,YES,NO,67740.08,YES
France,Male,YES,NO,161519.77,NO
Spain,Female,YES,YES,159835.78,YES
Spain,Male,YES,YES,30876.84,NO
France,Female,YES,YES,14858.1,NO
Spain,Female,YES,NO,75685.97,NO
France,Male,NO,YES,144183.1,NO
France,Female,YES,NO,65170.66,NO
France,Male,YES,YES,82526.92,NO
Spain,Male,YES,NO,169161.46,NO
Spain,Female,NO,YES,109291.39,YES
Spain,Female,NO,YES,6057.81,NO
Germany,Female,YES,NO,77077.14,NO
Germany,Female,NO,NO,54954.51,YES
France,Female,NO,NO,179614.8,YES
Spain,Male,YES,NO,35588.07,YES
France,Male,YES,YES,117356.14,NO
France,Male,YES,NO,160696.72,NO
Spain,Female,NO,NO,147278.43,YES
Germany,Female,YES,YES,56594.36,YES
France,Male,YES,NO,1299.75,NO
France,Female,YES,YES,25095.03,NO
Spain,Male,NO,NO,146326.45,NO
Spain,Female,NO,YES,38296.21,NO
Germany,Female,YES,NO,164061.6,NO
Spain,Male,YES,NO,107811.28,NO
Germany,Male,YES,YES,30838.51,NO
Germany,Female,NO,NO,9221.78,YES
Germany,Female,NO,YES,33738.27,NO
France,Female,NO,YES,110916.15,YES
Spain,Female,YES,YES,169654.57,NO
France,Female,NO,YES,69829.4,NO
France,Male,YES,NO,54926.51,YES
France,Male,YES,YES,94728.49,NO
France,Male,YES,YES,80393.27,NO
France,Male,NO,YES,111307.98,NO
France,Male,YES,NO,19834.32,NO
France,Male,YES,YES,78397.24,NO
Germany,Female,YES,NO,86410.28,NO
France,Male,NO,NO,172749.65,NO
France,Female,YES,NO,1002.39,NO
France,Female,YES,YES,13601.79,NO
Spain,Male,YES,YES,77866.91,NO
Germany,Male,YES,YES,175296.76,NO
Spain,Female,YES,NO,121751.04,YES
Spain,Male,YES,NO,89593.26,NO
Germany,Female,YES,NO,193437.89,YES
Spain,Male,YES,YES,86945.0,NO
Spain,Female,YES,YES,183318.79,NO
France,Male,YES,NO,71154.1,NO
Spain,Female,NO,YES,151887.16,NO
Germany,Female,YES,YES,75888.65,NO
Germany,Male,NO,YES,89566.74,NO
Spain,Female,NO,YES,26475.79,NO
Spain,Male,NO,NO,126355.8,NO
France,Male,YES,YES,93839.3,NO
France,Male,YES,NO,7698.6,NO
France,Male,YES,YES,145593.85,NO
Spain,Female,YES,NO,45042.56,NO
France,Female,YES,NO,61108.56,YES
Germany,Female,YES,NO,57553.98,YES
Spain,Female,YES,NO,62674.42,NO
Germany,Male,YES,YES,12120.79,NO
France,Male,NO,NO,50129.87,YES
Spain,Female,YES,NO,55022.43,NO
Spain,Female,NO,NO,117834.91,NO
France,Male,NO,YES,168840.23,NO
France,Female,NO,YES,24234.11,NO
France,Female,NO,NO,190627.01,NO
Spain,Male,YES,NO,156618.38,YES
France,Female,YES,NO,42334.38,NO
France,Female,YES,YES,110784.42,NO
Germany,Female,YES,NO,173683.0,YES
France,Female,YES,NO,27046.46,YES
France,Female,YES,NO,20598.59,YES
France,Female,YES,YES,104991.28,NO
France,Male,YES,NO,8996.97,NO
France,Female,YES,NO,64420.5,NO
France,Male,YES,YES,145700.22,NO
France,Female,YES,YES,196335.48,NO
France,Male,YES,YES,14781.12,NO
France,Male,YES,NO,108139.23,NO
Germany,Male,YES,YES,19287.06,YES
Spain,Male,YES,YES,9567.39,NO
Germany,Male,YES,YES,132210.49,NO
Spain,Male,NO,YES,21600.11,NO
Germany,Female,YES,YES,199661.5,NO
France,Male,YES,YES,124341.49,NO
France,Female,YES,NO,15766.1,NO
Germany,Female,YES,YES,33642.21,NO
Spain,Male,YES,YES,117704.65,NO
France,Male,YES,YES,58803.28,NO
France,Male,YES,YES,137537.22,NO
France,Female,NO,YES,131300.68,NO
France,Male,YES,YES,84174.81,NO
France,Female,NO,YES,160941.78,NO
France,Male,YES,YES,143954.99,NO
Spain,Male,YES,YES,56297.85,NO
France,Female,YES,YES,8404.73,NO
Germany,Female,NO,NO,30020.09,NO
France,Male,NO,YES,58137.42,NO
France,Male,NO,NO,47472.68,NO
Spain,Female,YES,YES,19131.71,NO
Spain,Male,YES,YES,187288.5,NO
France,Female,YES,YES,17603.81,NO
Spain,Female,YES,NO,67020.03,NO
Germany,Male,NO,YES,147802.94,YES
Spain,Female,YES,YES,41610.62,NO
Spain,Female,YES,NO,44255.65,NO
France,Male,NO,YES,78416.14,NO
Spain,Male,NO,YES,137254.55,NO
Germany,Female,NO,YES,151303.48,NO
Germany,Female,NO,NO,86333.63,NO
France,Male,NO,NO,89801.9,NO
Spain,Male,NO,NO,29358.57,YES
France,Female,YES,YES,181600.72,NO
Germany,Female,YES,NO,124118.71,YES
France,Female,YES,NO,38867.46,YES
France,Female,YES,NO,31106.67,NO
Germany,Male,YES,NO,67611.36,NO
France,Male,YES,NO,77837.63,NO
Germany,Male,NO,NO,6078.46,NO
France,Male,YES,YES,177896.92,NO
