Geography,Gender,Age,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Germany,Male,35,136857.0,NO,NO,84509.57,NO
Germany,Female,27,152328.88,NO,NO,126494.82,NO
Spain,Male,33,56084.69,NO,NO,178798.13,NO
Spain,Male,56,78707.16,YES,YES,99398.36,NO
Germany,Male,26,109166.37,YES,YES,92840.67,NO
Germany,Female,36,169831.46,YES,YES,27758.36,NO
Germany,Female,34,101633.04,YES,NO,110431.51,NO
Germany,Male,43,123180.01,YES,YES,196673.28,NO
Germany,Female,35,150725.53,NO,YES,113656.85,NO
France,Female,21,98373.26,YES,NO,18203.0,NO
Germany,Male,58,133745.44,YES,NO,28373.86,YES
France,Male,29,0.0,YES,NO,33953.87,NO
Spain,Female,37,163607.18,NO,YES,44203.55,NO
Germany,Female,25,157780.84,YES,YES,58426.81,NO
France,Male,36,0.0,NO,YES,145562.4,NO
France,Female,21,178718.19,YES,NO,22388.0,NO
France,Male,55,0.0,YES,YES,139161.64,NO
France,Female,32,0.0,YES,YES,148210.64,NO
Spain,Male,33,77253.22,NO,YES,194239.63,NO
Germany,Female,41,122189.66,YES,NO,98301.61,NO
France,Female,34,96645.54,NO,NO,171413.66,NO
France,Female,32,0.0,YES,NO,136458.19,YES
France,Female,36,0.0,NO,NO,26019.59,NO
France,Female,34,90307.62,YES,YES,159235.29,NO
France,Female,46,0.0,YES,NO,1907.66,NO
Spain,Female,75,0.0,YES,YES,114675.75,NO
Spain,Male,22,121681.82,YES,NO,128643.35,YES
France,Male,30,0.0,YES,NO,151869.35,NO
France,Female,46,0.0,YES,NO,93251.42,YES
Germany,Female,28,81623.67,YES,YES,156791.36,NO
Spain,Female,44,0.0,YES,YES,174205.22,YES
France,Male,45,118626.55,YES,NO,147132.46,NO
France,Female,36,0.0,YES,NO,109614.57,NO
France,Male,29,0.0,YES,YES,172290.61,NO
Spain,Male,42,0.0,NO,YES,85982.47,NO
Spain,Male,35,176273.95,NO,YES,121277.78,NO
Spain,Male,41,102827.44,NO,YES,64595.25,NO
Germany,Male,29,97086.4,YES,YES,197276.13,NO
Spain,Male,22,0.0,NO,NO,99645.04,NO
France,Male,34,0.0,NO,NO,6534.18,NO
France,Female,40,0.0,YES,YES,161848.03,NO
France,Female,44,0.0,NO,NO,167162.43,NO
France,Male,31,82674.15,YES,NO,41970.72,NO
Spain,Male,36,0.0,YES,NO,60536.56,NO
Spain,Female,65,0.0,YES,YES,177655.68,YES
Spain,Female,46,107073.27,YES,YES,30984.59,YES
Germany,Male,32,88938.62,YES,YES,10054.53,NO
Germany,Female,36,99806.85,NO,YES,36976.52,NO
Spain,Male,33,150092.8,NO,NO,71862.79,NO
Germany,Male,35,92833.89,YES,NO,99449.86,YES
Germany,Male,30,90536.81,NO,YES,63082.88,NO
Germany,Male,39,108055.1,YES,NO,27231.26,NO
France,Male,42,100238.35,NO,NO,86797.41,NO
Spain,Male,36,106190.55,NO,YES,22994.32,NO
Germany,Male,28,154475.54,NO,YES,101300.94,YES
Germany,Female,30,132351.29,YES,YES,74169.13,NO
Germany,Female,37,167864.4,YES,NO,115638.29,NO
France,Female,41,0.0,YES,NO,31766.3,NO
Germany,Female,31,107818.63,YES,NO,199725.39,YES
Germany,Male,34,185173.81,YES,NO,120834.48,NO
France,Male,34,129433.34,NO,NO,38131.77,NO
Spain,Male,39,120193.42,NO,NO,100130.95,NO
France,Female,39,0.0,YES,NO,141069.88,NO
Germany,Female,48,126384.42,YES,YES,198129.36,NO
France,Female,28,0.0,NO,NO,183646.41,NO
France,Male,42,152603.45,YES,NO,110265.24,YES
France,Female,52,0.0,NO,YES,8636.05,YES
Germany,Male,56,148507.24,YES,NO,46824.08,YES
France,Female,41,0.0,YES,NO,171378.77,NO
France,Male,24,101827.07,YES,NO,167256.35,NO
France,Female,34,0.0,YES,YES,124226.16,NO
Germany,Female,33,130862.43,YES,YES,114935.21,NO
France,Male,38,122570.87,YES,YES,35608.88,NO
France,Male,25,0.0,NO,YES,16459.37,NO
Germany,Male,39,124828.46,YES,YES,124411.08,NO
Germany,Female,50,144895.05,YES,YES,34941.23,NO
Germany,Female,34,63663.93,NO,YES,167784.28,NO
France,Male,40,133463.1,NO,YES,93165.34,NO
Spain,Female,48,213146.2,YES,NO,75161.25,YES
Spain,Female,35,129490.36,NO,YES,8590.83,YES
Germany,Male,44,137452.09,YES,NO,189543.9,NO
France,Male,34,0.0,YES,YES,180427.24,NO
France,Female,43,125851.93,YES,YES,193318.33,NO
Spain,Male,52,0.0,YES,NO,159123.82,YES
France,Female,31,40915.55,YES,NO,126213.84,YES
Spain,Female,21,113157.22,YES,YES,54141.5,NO
Spain,Female,29,138296.94,YES,NO,141075.51,NO
France,Male,37,106967.18,NO,NO,24495.03,NO
France,Male,44,120681.63,YES,NO,74836.34,NO
France,Male,32,0.0,NO,YES,878.87,NO
Spain,Female,32,0.0,YES,NO,89520.75,NO
France,Female,48,0.0,YES,NO,149892.79,YES
Spain,Male,42,0.0,YES,NO,180800.42,NO
France,Male,37,127609.59,YES,NO,98646.22,NO
France,Female,43,0.0,YES,YES,109041.53,NO
Spain,Male,57,0.0,YES,NO,17941.16,YES
France,Female,33,0.0,NO,NO,82996.47,NO
Spain,Female,28,0.0,YES,YES,92067.35,NO
France,Female,73,97259.25,NO,YES,104719.66,NO
Germany,Female,33,123246.7,NO,NO,112687.57,NO
Spain,Female,22,101060.25,NO,YES,84699.56,NO
France,Male,30,0.0,YES,NO,83473.82,NO
France,Female,49,108007.36,NO,NO,47125.11,NO
Spain,Female,36,0.0,YES,YES,106977.8,NO
Spain,Male,29,133702.89,YES,NO,55582.54,YES
Germany,Male,31,125189.75,YES,YES,139874.43,NO
Germany,Female,24,113034.22,YES,NO,162503.48,YES
Spain,Female,41,109013.23,YES,NO,196499.96,NO
Spain,Female,39,0.0,YES,NO,40721.24,YES
Germany,Male,24,57929.81,NO,NO,53134.3,NO
France,Female,29,130114.39,YES,NO,164017.89,NO
Germany,Male,27,95826.49,YES,NO,155996.96,NO
Germany,Male,44,129608.57,YES,NO,5472.7,YES
France,Male,30,169462.09,YES,NO,112187.11,NO
France,Male,40,0.0,YES,YES,146457.83,NO
Spain,Female,35,133868.21,YES,YES,27286.1,NO
France,Female,30,0.0,YES,YES,130553.47,NO
Germany,Male,36,190479.48,NO,NO,179351.89,NO
Spain,Female,40,101993.12,NO,YES,94774.12,NO
Germany,Female,55,161608.81,YES,NO,8080.85,YES
Spain,Female,45,122311.21,YES,YES,19482.5,NO
France,Male,65,0.0,YES,YES,48071.61,NO
Germany,Female,45,162150.42,YES,NO,174531.27,NO
France,Male,42,0.0,YES,YES,55470.78,NO
France,Female,50,0.0,YES,YES,8546.87,YES
France,Male,32,0.0,YES,NO,95857.18,NO
France,Female,39,99010.67,YES,NO,194945.8,NO
Spain,Female,37,0.0,NO,YES,131521.72,NO
Spain,Male,30,0.0,NO,YES,196108.51,NO
Germany,Female,34,111388.18,YES,NO,148564.76,NO
France,Female,41,56214.85,NO,NO,92982.61,YES
France,Female,36,84327.77,YES,NO,17675.36,NO
France,Male,40,0.0,NO,NO,114996.43,NO
France,Male,32,93012.89,YES,NO,86957.42,NO
Spain,Male,29,61710.44,YES,NO,128077.8,NO
France,Male,35,174790.15,YES,YES,600.36,NO
Spain,Female,32,0.0,YES,YES,43001.46,NO
Germany,Male,37,107720.64,YES,YES,158591.12,NO
France,Male,57,0.0,YES,YES,47847.19,NO
France,Male,35,96423.84,YES,NO,10488.44,NO
Spain,Male,30,141040.01,YES,YES,5978.2,NO
France,Male,42,105420.18,NO,YES,121409.06,NO
Spain,Male,50,0.0,NO,YES,146145.93,YES
France,Female,38,129022.06,YES,YES,14374.86,YES
Spain,Male,33,176666.62,YES,NO,94670.77,NO
France,Male,37,0.0,YES,YES,179670.31,NO
Spain,Female,41,89763.84,NO,NO,199304.74,YES
France,Male,34,134954.53,YES,YES,151954.39,NO
France,Male,45,0.0,YES,NO,142513.5,YES
France,Male,45,106376.85,NO,YES,158264.62,NO
Germany,Male,33,161814.64,YES,NO,169381.9,NO
France,Male,31,0.0,YES,YES,169915.02,NO
France,Female,41,0.0,NO,NO,88852.47,NO
France,Female,34,63095.01,YES,YES,40645.81,NO
Germany,Male,26,118287.01,NO,NO,60427.3,NO
Germany,Male,47,106854.21,NO,YES,157959.02,YES
France,Male,46,49512.55,YES,NO,133007.34,NO
Spain,Female,33,0.0,NO,NO,176576.62,NO
France,Male,43,105799.32,YES,NO,34888.04,YES
France,Male,54,0.0,YES,YES,28737.71,YES
France,Female,31,114722.05,YES,YES,98178.57,NO
Spain,Male,30,0.0,NO,YES,125010.24,NO
France,Male,42,0.0,YES,YES,167984.61,NO
France,Male,33,0.0,YES,NO,4861.72,YES
Germany,Male,45,99564.22,YES,YES,108872.45,YES
France,Male,37,170557.91,YES,NO,198252.88,NO
France,Female,30,0.0,YES,YES,26960.31,NO
Germany,Female,39,74596.15,YES,YES,85746.52,YES
Germany,Male,50,96888.39,YES,NO,77206.25,YES
Germany,Female,29,130830.22,YES,NO,61048.53,NO
France,Male,72,0.0,NO,YES,111981.19,NO
France,Male,40,0.0,YES,NO,62232.6,NO
France,Female,37,0.0,NO,YES,156105.03,NO
Germany,Male,20,119714.25,NO,YES,150135.38,NO
France,Female,67,113978.97,NO,YES,93146.11,NO
Germany,Male,42,100160.75,YES,NO,33462.94,YES
France,Female,29,0.0,YES,YES,144375.0,NO
Germany,Female,43,116220.5,YES,NO,55803.96,YES
France,Female,46,0.0,YES,NO,89048.46,YES
France,Male,28,81173.83,NO,YES,162812.16,NO
Spain,Male,38,0.0,YES,NO,136259.65,NO
Germany,Female,39,116803.8,YES,NO,124052.97,NO
France,Male,37,105961.68,NO,YES,74158.8,NO
Germany,Male,67,117411.6,YES,YES,45071.09,YES
Spain,Male,34,0.0,YES,NO,62030.06,NO
France,Female,40,123497.58,YES,NO,131953.23,YES
Germany,Male,26,152400.51,YES,NO,79414.0,NO
France,Female,26,0.0,YES,YES,199638.56,NO
Germany,Male,24,103097.85,YES,YES,157577.29,NO
Germany,Male,54,126418.14,YES,NO,134420.75,YES
Germany,Female,36,77846.9,NO,NO,99805.99,NO
Spain,Female,34,0.0,YES,YES,97932.68,NO
France,Female,79,0.0,NO,YES,170968.99,NO
Germany,Male,37,79731.91,YES,YES,57558.95,NO
Spain,Male,28,0.0,NO,NO,176713.47,NO
Spain,Male,41,0.0,NO,YES,34283.23,NO
France,Male,34,0.0,YES,YES,198637.34,NO
Germany,Female,34,37266.67,NO,NO,156917.12,NO
France,Female,30,127992.25,YES,YES,50457.2,NO
Germany,Male,38,54901.01,YES,YES,140075.55,NO
Germany,Male,42,108748.08,YES,YES,65323.11,NO
Spain,Female,48,99906.19,YES,NO,64323.24,NO
France,Female,32,184686.41,YES,NO,14956.44,NO
France,Female,26,110654.02,NO,YES,111879.21,NO
Spain,Male,31,79019.8,YES,YES,18606.23,NO
Spain,Female,36,99240.51,YES,NO,123137.01,NO
France,Male,34,0.0,YES,YES,148528.24,NO
France,Male,36,0.0,YES,NO,13898.31,NO
Spain,Female,39,0.0,NO,NO,81259.25,YES
Germany,Female,35,52436.2,YES,NO,161051.75,NO
Spain,Male,41,0.0,NO,YES,191599.67,NO
Germany,Male,34,100337.96,YES,NO,48559.19,YES
Germany,Female,34,149297.19,YES,YES,186339.74,NO
France,Male,30,0.0,YES,NO,33159.37,NO
Germany,Male,28,145605.44,NO,YES,93883.53,NO
Spain,Female,37,0.0,YES,YES,110899.3,NO
France,Male,62,0.0,YES,YES,11199.04,YES
France,Female,53,0.0,YES,NO,189992.97,NO
France,Male,35,84026.86,NO,YES,164255.69,NO
France,Male,46,0.0,YES,NO,152167.79,YES
France,Male,39,0.0,YES,YES,33949.67,NO
Spain,Male,29,0.0,YES,YES,68143.93,NO
Germany,Male,35,138718.92,YES,YES,47251.79,YES
France,Male,42,118274.71,YES,YES,25885.72,NO
France,Female,22,174185.98,NO,YES,192633.85,NO
France,Male,40,113208.86,YES,NO,34577.36,NO
Spain,Male,29,103907.28,YES,NO,161229.84,NO
France,Female,32,119023.28,YES,NO,100816.29,NO
Spain,Female,26,166297.89,YES,YES,181694.44,NO
Spain,Male,34,0.0,YES,NO,79078.91,NO
Germany,Male,42,63227.0,NO,YES,137316.32,NO
Spain,Female,41,94521.17,YES,NO,194926.86,NO
France,Male,27,0.0,YES,NO,51285.49,NO
Spain,Female,34,112822.26,NO,NO,150401.53,YES
France,Male,38,0.0,YES,YES,112491.96,NO
France,Male,25,135903.33,YES,NO,73656.38,NO
France,Female,31,125169.26,YES,YES,106636.89,NO
Spain,Female,44,0.0,YES,NO,155853.52,YES
France,Male,58,149117.31,YES,YES,162599.51,NO
France,Male,33,0.0,YES,YES,103737.82,NO
France,Female,31,0.0,YES,NO,160990.27,NO
Spain,Female,36,132311.71,NO,NO,15462.84,NO
France,Male,35,0.0,YES,NO,10334.05,NO
France,Female,33,0.0,YES,YES,190686.16,NO
France,Male,33,118082.89,NO,NO,94440.45,NO
France,Male,31,119266.69,YES,YES,28257.63,NO
France,Male,43,0.0,YES,YES,170034.95,YES
Germany,Male,35,156847.29,YES,NO,31824.29,NO
France,Male,50,137104.47,YES,NO,127166.49,YES
Germany,Male,31,78398.69,YES,NO,44937.01,NO
France,Female,80,0.0,YES,YES,188603.07,NO
Germany,Male,30,63669.42,YES,NO,145111.37,NO
France,Male,38,0.0,NO,NO,171463.83,NO
Germany,Female,59,135296.33,YES,NO,182822.5,NO
Spain,Male,36,153804.44,YES,YES,87213.33,NO
Spain,Male,37,0.0,NO,NO,57175.32,NO
France,Male,49,147069.78,YES,NO,120540.83,YES
Spain,Male,42,0.0,YES,YES,28714.34,NO
Spain,Female,22,0.0,YES,NO,85426.28,NO
France,Male,24,95741.75,YES,NO,46170.75,NO
Spain,Female,57,145965.33,YES,YES,64448.36,NO
France,Female,30,141441.75,YES,YES,16278.97,NO
France,Male,40,139290.41,YES,NO,182855.42,YES
France,Female,31,0.0,NO,NO,50404.72,NO
France,Male,30,0.0,YES,NO,107640.25,NO
France,Male,35,144428.87,YES,NO,134132.65,NO
France,Male,35,0.0,YES,NO,103480.69,NO
France,Female,46,95441.27,YES,NO,108761.05,YES
Germany,Male,35,144848.74,YES,YES,179012.3,NO
Germany,Male,26,116244.14,YES,YES,95145.14,NO
France,Male,50,0.0,NO,YES,72143.44,NO
Spain,Female,40,146502.07,YES,NO,19162.89,NO
Germany,Male,44,117028.6,NO,YES,144680.18,NO
Germany,Female,30,112013.81,YES,NO,177772.03,YES
Spain,Female,37,108269.37,YES,NO,5597.94,NO
France,Male,29,182123.79,YES,NO,116828.51,YES
Germany,Female,32,150923.74,NO,YES,174652.51,NO
France,Male,33,0.0,YES,NO,2010.98,NO
Spain,Female,39,165272.13,YES,NO,14109.85,YES
Germany,Female,39,115301.31,YES,NO,43527.4,YES
Germany,Female,40,129502.49,NO,YES,86099.23,YES
France,Male,31,118342.26,NO,NO,161574.19,NO
Spain,Female,47,0.0,YES,YES,38970.14,NO
France,Male,22,0.0,NO,NO,127587.22,NO
France,Female,25,0.0,YES,NO,30380.12,NO
France,Female,43,0.0,YES,NO,90908.95,NO
Germany,Female,34,106937.05,YES,NO,138275.01,NO
Germany,Male,59,170331.37,YES,YES,32171.79,NO
Germany,Female,32,114510.85,YES,YES,126143.23,NO
France,Male,39,0.0,YES,YES,129892.93,NO
Spain,Male,32,107594.11,YES,YES,102416.84,NO
Spain,Male,39,81273.13,YES,YES,18719.67,NO
Spain,Female,32,169399.6,YES,NO,61936.22,NO
Spain,Male,25,0.0,YES,YES,78358.94,NO
France,Female,45,187841.99,YES,YES,147224.27,NO
France,Male,30,0.0,YES,NO,160979.66,NO
Spain,Female,57,126776.3,YES,YES,132298.49,NO
Spain,Male,34,126436.29,YES,NO,174248.52,YES
France,Male,41,101960.74,YES,YES,123547.28,NO
France,Male,58,0.0,NO,YES,32790.02,NO
Spain,Male,28,0.0,NO,YES,181543.67,NO
Germany,Female,45,150842.93,NO,YES,2319.96,YES
France,Female,50,102535.57,YES,YES,189543.19,NO
Germany,Female,29,99027.61,YES,NO,10940.4,NO
France,Male,68,0.0,YES,YES,199493.38,NO
Spain,Female,33,0.0,YES,YES,188193.25,NO
Germany,Female,42,87271.41,YES,NO,172572.64,NO
Germany,Female,35,102742.91,YES,YES,189339.6,NO
Germany,Male,34,40105.51,NO,YES,53512.16,NO
France,Female,29,152265.43,YES,NO,34004.44,NO
Spain,Male,42,141947.67,YES,YES,10598.29,NO
Germany,Female,75,106307.91,NO,YES,113428.77,NO
Germany,Male,31,107884.81,YES,YES,183487.98,NO
Germany,Male,31,125013.72,YES,YES,187658.09,NO
Germany,Male,35,58469.37,YES,YES,172459.39,NO
France,Female,39,0.0,NO,YES,21016.0,NO
Germany,Male,45,117231.63,YES,YES,122381.02,YES
Spain,Male,35,152390.26,YES,NO,128123.66,NO
Spain,Female,30,34013.63,YES,NO,19570.63,NO
Spain,Female,39,0.0,NO,NO,188150.6,YES
France,Female,50,0.0,YES,YES,111020.24,NO
France,Male,36,101583.11,YES,NO,123775.15,NO
Germany,Female,30,77168.87,NO,YES,146700.22,NO
Germany,Male,28,124695.72,YES,NO,145251.35,NO
Germany,Male,44,105934.96,YES,NO,82463.69,NO
France,Female,66,0.0,YES,YES,15928.49,NO
Spain,Male,46,0.0,YES,NO,45886.33,NO
Spain,Male,62,0.0,YES,YES,186489.95,NO
Spain,Female,45,0.0,NO,YES,162922.65,NO
France,Female,21,161525.96,YES,NO,9262.77,NO
Germany,Female,29,147199.07,YES,YES,84932.4,NO
Germany,Male,38,183102.29,YES,YES,71557.12,NO
Spain,Male,46,127209.0,YES,NO,77405.95,YES
Spain,Male,38,0.0,NO,NO,417.41,YES
Spain,Female,24,97378.54,YES,YES,71405.17,NO
Germany,Female,37,136925.09,NO,YES,153400.24,NO
France,Male,33,54503.55,YES,YES,371.05,NO
Germany,Male,32,155726.85,YES,NO,67789.99,NO
France,Female,39,0.0,NO,YES,145894.9,NO
France,Female,66,135842.41,YES,NO,183840.51,YES
France,Male,52,63349.75,YES,NO,108887.44,NO
Germany,Female,38,129499.42,YES,YES,154071.27,NO
Spain,Male,52,0.0,NO,YES,179291.85,NO
Spain,Male,36,70438.01,NO,YES,56937.43,NO
France,Male,23,0.0,YES,YES,112239.03,NO
France,Male,36,0.0,YES,NO,45909.87,NO
Spain,Female,49,141434.04,NO,NO,173779.25,YES
Spain,Female,37,0.0,YES,NO,125696.26,NO
Germany,Male,37,152958.29,YES,YES,159585.61,NO
Germany,Female,41,138306.34,YES,NO,106761.47,NO
Spain,Male,23,0.0,NO,NO,129590.18,NO
France,Male,38,0.0,YES,YES,80006.65,NO
Spain,Female,31,124328.84,YES,YES,140451.52,NO
Germany,Female,41,181461.48,YES,YES,187929.43,YES
Spain,Male,35,0.0,YES,NO,167155.36,NO
Spain,Male,26,0.0,NO,NO,191420.71,NO
Germany,Female,61,110368.03,NO,NO,11384.45,YES
France,Female,39,89588.35,YES,YES,94898.1,NO
France,Female,46,0.0,NO,NO,106781.59,NO
France,Female,28,0.0,NO,NO,159508.52,NO
Germany,Female,60,115924.89,YES,NO,93524.19,YES
France,Female,38,0.0,YES,NO,87168.46,NO
Germany,Male,40,111756.5,YES,NO,8128.32,YES
France,Female,35,0.0,YES,NO,125518.32,NO
France,Male,39,0.0,YES,NO,48963.59,NO
France,Male,26,162923.85,YES,NO,98368.24,NO
Germany,Male,39,124576.65,YES,NO,148584.61,NO
France,Male,45,80793.58,YES,YES,27474.81,NO
Germany,Female,40,71340.09,YES,NO,76192.21,NO
Germany,Male,40,99282.63,NO,NO,134600.94,YES
Germany,Male,57,137946.39,YES,YES,72467.99,YES
Germany,Male,41,127892.57,NO,YES,199645.45,NO
Germany,Female,33,101084.36,YES,NO,42749.85,NO
Germany,Female,37,114754.08,YES,NO,136050.44,YES
France,Male,33,0.0,NO,NO,73564.44,NO
France,Female,51,99286.98,NO,YES,85578.63,NO
Germany,Female,30,79871.02,YES,NO,129826.89,NO
France,Male,35,104088.59,NO,NO,119666.0,NO
France,Female,38,168190.33,YES,NO,68052.08,NO
Germany,Female,42,85679.25,YES,YES,164104.74,NO
France,Female,35,0.0,NO,NO,80190.36,NO
France,Female,31,0.0,YES,NO,84126.75,NO
France,Female,34,121551.58,YES,YES,70179.0,NO
France,Male,46,122220.19,YES,YES,118024.1,NO
Spain,Male,47,116528.15,NO,NO,145704.19,YES
France,Female,26,77780.29,NO,YES,183049.41,NO
France,Male,37,0.0,NO,NO,120906.83,NO
France,Male,40,125832.2,YES,YES,100433.83,NO
France,Female,38,68065.8,NO,NO,138777.0,YES
Spain,Female,47,127299.34,YES,NO,124694.99,NO
Germany,Female,38,174937.64,YES,NO,40084.32,NO
France,Male,40,0.0,NO,YES,119232.33,NO
Spain,Male,31,110071.1,NO,NO,43921.36,NO
Spain,Female,44,139432.37,YES,NO,62222.81,NO
France,Female,39,127357.76,NO,YES,56577.0,NO
France,Male,36,0.0,YES,NO,164253.35,NO
France,Male,33,0.0,YES,YES,7666.73,NO
France,Male,38,0.0,YES,NO,68487.51,NO
Germany,Male,43,95556.31,NO,YES,199273.98,YES
Spain,Male,37,0.0,YES,YES,186062.36,NO
Germany,Male,29,111681.98,YES,YES,195711.16,NO
France,Male,39,0.0,YES,NO,36692.17,NO
Spain,Female,25,108738.71,YES,NO,106920.57,NO
France,Female,32,133950.37,YES,YES,48725.68,YES
Spain,Male,26,0.0,YES,YES,167036.94,NO
France,Male,33,89968.69,YES,NO,68777.26,NO
Spain,Female,32,0.0,YES,YES,18924.92,NO
Germany,Female,38,130878.75,YES,NO,71905.77,YES
France,Male,35,0.0,YES,NO,64833.28,NO
France,Male,35,0.0,YES,YES,184843.77,NO
Spain,Male,27,134169.62,YES,YES,176730.02,NO
France,Male,37,149762.08,YES,NO,20629.4,YES
France,Male,26,93844.69,YES,NO,28415.36,NO
France,Male,28,0.0,YES,NO,77231.27,NO
France,Female,33,0.0,YES,NO,102750.7,NO
Germany,Male,46,141078.37,NO,NO,34580.8,YES
Germany,Female,31,117992.59,YES,YES,183598.77,NO
France,Female,40,100812.33,YES,NO,147358.27,NO
France,Male,38,0.0,YES,YES,108469.2,NO
France,Male,29,80262.6,YES,YES,20612.82,NO
Spain,Male,34,156478.62,NO,YES,181196.76,NO
France,Female,23,0.0,YES,NO,160249.1,NO
France,Male,37,0.0,NO,NO,110783.28,NO
Germany,Male,37,115217.99,YES,NO,144995.33,NO
Spain,Male,61,0.0,YES,NO,150227.85,YES
France,Female,35,155470.55,YES,YES,53718.28,NO
France,Male,37,0.0,YES,NO,75248.3,NO
France,Male,39,135096.77,YES,YES,14353.43,YES
France,Male,30,0.0,NO,YES,130486.57,NO
Germany,Female,55,180075.22,YES,YES,100127.71,NO
Spain,Male,29,97541.24,YES,YES,196356.17,NO
France,Female,41,156067.05,YES,YES,9983.88,NO
France,Female,38,81550.94,NO,YES,118974.77,NO
France,Female,47,0.0,NO,NO,194998.34,YES
France,Female,38,170061.92,NO,NO,134901.34,YES
Germany,Male,36,92310.54,YES,YES,72924.56,NO
France,Female,32,169089.38,YES,NO,101057.95,NO
France,Male,40,80613.93,YES,YES,142838.64,NO
Germany,Male,26,121581.56,YES,YES,127059.04,NO
France,Female,58,0.0,NO,YES,116503.92,YES
Spain,Male,32,0.0,YES,YES,54405.79,NO
France,Male,54,0.0,YES,YES,88721.84,NO
France,Male,60,85891.55,YES,NO,74135.48,YES
Spain,Male,44,77637.35,YES,YES,111346.22,NO
Spain,Female,41,0.0,NO,NO,194902.16,NO
France,Male,31,0.0,YES,NO,31474.27,NO
Germany,Male,30,116927.89,YES,NO,21198.39,NO
Germany,Female,40,137326.65,YES,NO,186976.6,NO
France,Male,22,0.0,YES,YES,117202.19,NO
Spain,Female,37,0.0,YES,YES,143739.29,NO
Germany,Female,31,67238.98,YES,YES,161811.23,NO
Germany,Female,38,86569.76,YES,NO,98090.91,NO
Spain,Male,34,0.0,NO,NO,71095.41,NO
France,Male,34,133598.4,YES,YES,13107.24,NO
France,Female,51,136188.78,YES,YES,67110.59,YES
Spain,Male,38,0.0,YES,NO,88225.02,NO
France,Female,56,0.0,NO,YES,62256.87,YES
Germany,Male,37,120092.52,YES,NO,135925.72,NO
France,Male,48,101238.24,NO,YES,177815.87,YES
France,Male,58,89685.92,NO,YES,126471.13,NO
France,Female,35,211774.31,YES,NO,188574.12,YES
